Date,Bid,Allocated
6/15/2010,5300,4118.3
7/13/2010,4850,4137.8
8/17/2010,3687,1894.9
9/14/2010,6586,4440
12/10/2010,5260,4354.9
11/16/2010,4920,1857
12/14/2010,6445,4238.2
11/01/2011,2720,2720
2/15/2011,808,808
3/15/2011,5255,4730
12/04/2011,3250,3250
5/17/2011,2335,2335
6/14/2011,2450,2450
12/07/2011,5365,4755
8/16/2011,2445,1894
9/13/2011,3245,3245
11/10/2011,6955,4184.7
11/15/2011,760,760
12/13/2011,830,830
10/01/2012,0,0
2/14/2012,20,20
3/13/2012,5,5
10/04/2012,200,200
5/15/2012,0,0
12/06/2012,5,5
10/07/2012,0,0
8/14/2012,0,0
11/09/2012,55,55
09/10/2012,5,5
11/13/2012,5,5
11/12/2012,10,10
08/01/2013,0,0
12/02/2013,0,0
12/03/2013,0,0
09/04/2013,0,0
5/14/2013,0,0
11/06/2013,0,0
09/07/2013,40,40
8/13/2013,0,0
10/09/2013,5,5
08/10/2013,0,0
12/11/2013,0,0
10/12/2013,55,55
07/01/2014,200,200
